,accession,duf_number
1087,PF11216,DUF3012
1088,PF11217,DUF3013
1089,PF11218,DUF3011
1090,PF11219,DUF3014
1091,PF11220,DUF3015
1092,PF11222,DUF3017
1093,PF11223,DUF3020
1094,PF11224,DUF3023
1095,PF11225,DUF3024
1096,PF11226,DUF3022
1097,PF11227,DUF3025
1098,PF11228,DUF3027
1099,PF11231,DUF3034
1100,PF11233,DUF3035
1101,PF11236,DUF3037
1102,PF11237,DUF3038
1103,PF11238,DUF3039
1104,PF11239,DUF3040
1105,PF11240,DUF3042
1106,PF11241,DUF3043
1107,PF11245,DUF2544
1108,PF11248,DUF3046
1109,PF11249,DUF3047
1110,PF11253,DUF3052
1111,PF11254,DUF3053
1112,PF11255,DUF3054
1113,PF11258,DUF3048
1114,PF11259,DUF3060
1115,PF11267,DUF3067
1116,PF11268,DUF3071
1117,PF11269,DUF3069
1118,PF11272,DUF3072
1119,PF11273,DUF3073
1120,PF11275,DUF3077
1121,PF11276,DUF3078
1122,PF11278,DUF3079
1123,PF11279,DUF3080
1124,PF11280,DUF3081
1125,PF11281,DUF3083
1126,PF11282,DUF3082
1127,PF11283,DUF3084
1128,PF11284,DUF3085
1129,PF11285,DUF3086
1130,PF11286,DUF3087
1131,PF11287,DUF3088
1132,PF11288,DUF3089
1133,PF11290,DUF3090
1134,PF11291,DUF3091
1135,PF11292,DUF3093
1136,PF11293,DUF3094
1137,PF11294,DUF3095
1138,PF11295,DUF3096
1139,PF11296,DUF3097
1140,PF11297,DUF3098
1141,PF11298,DUF3099
1142,PF11299,DUF3100
1143,PF11300,DUF3102
1144,PF11301,DUF3103
1145,PF11302,DUF3104
1146,PF11303,DUF3105
1147,PF11304,DUF3106
1148,PF11305,DUF3107
1149,PF11306,DUF3108
1150,PF11309,DUF3112
1151,PF11310,DUF3113
1152,PF11311,DUF3114
1153,PF11313,DUF3116
1154,PF11314,DUF3117
1155,PF11317,DUF3119
1156,PF11318,DUF3120
1157,PF11320,DUF3122
1158,PF11321,DUF3123
1159,PF11322,DUF3124
1160,PF11324,DUF3126
1161,PF11325,DUF3127
1162,PF11329,DUF3131
1163,PF11332,DUF3134
1164,PF11333,DUF3135
1165,PF11334,DUF3136
1166,PF11335,DUF3137
1167,PF11336,DUF3138
1168,PF11337,DUF3139
1169,PF11338,DUF3140
1170,PF11340,DUF3142
1171,PF11341,DUF3143
1172,PF11342,DUF3144
1173,PF11343,DUF3145
1174,PF11344,DUF3146
1175,PF11345,DUF3147
1176,PF11346,DUF3149
1177,PF11348,DUF3150
1178,PF11352,DUF3155
1179,PF11353,DUF3153
1180,PF11354,DUF3156
1181,PF11355,DUF3157
1182,PF11358,DUF3158
1183,PF11360,DUF3110
1184,PF11364,DUF3165
1185,PF11368,DUF3169
1186,PF11371,DUF3172
1187,PF11372,DUF3173
1188,PF11374,DUF3176
1189,PF11375,DUF3177
1190,PF11376,DUF3179
1191,PF11377,DUF3180
1192,PF11378,DUF3181
1193,PF11379,DUF3182
1194,PF11381,DUF3185
1195,PF11383,DUF3187
1196,PF11384,DUF3188
1197,PF11385,DUF3189
1198,PF11387,DUF2795
1199,PF11391,DUF2798
1200,PF11399,DUF3192
1201,PF11442,DUF2826
1202,PF11444,DUF2895
1203,PF11445,DUF2894
1204,PF11446,DUF2897
1205,PF11448,DUF3005
1206,PF11450,DUF3008
1207,PF11452,DUF3000
1208,PF11453,DUF2950
1209,PF11454,DUF3016
1210,PF11456,DUF3019
1211,PF11457,DUF3021
1212,PF11460,DUF3007
1213,PF11462,DUF3203
1214,PF11472,DUF3206
1215,PF11482,DUF3208
1216,PF11483,DUF3209
1217,PF11486,DUF3212
1218,PF11491,DUF3213
1219,PF11508,DUF3218
1220,PF11514,DUF3219
1221,PF11516,DUF3220
1222,PF11518,DUF3221
1223,PF11519,DUF3222
1224,PF11528,DUF3224
1225,PF11539,DUF3228
1226,PF11553,DUF3231
1227,PF11554,DUF3232
1228,PF11572,DUF3234
1229,PF11579,DUF3238
1230,PF11580,DUF3239
1231,PF11582,DUF3240
1232,PF11586,DUF3242
1233,PF11588,DUF3243
1234,PF11589,DUF3244
1235,PF11595,DUF3245
1236,PF11596,DUF3246
1237,PF11607,DUF3247
1238,PF11609,DUF3248
1239,PF11622,DUF3251
1240,PF11625,DUF3253
1241,PF11631,DUF3255
1242,PF11644,DUF3256
1243,PF11646,DUF3258
1244,PF11659,DUF3261
1245,PF11660,DUF3262
1246,PF11661,DUF2986
1247,PF11662,DUF3263
1248,PF11666,DUF2933
1249,PF11672,DUF3268
1250,PF11673,DUF3269
1251,PF11674,DUF3270
1252,PF11675,DUF3271
1253,PF11676,DUF3272
1254,PF11677,DUF3273
1255,PF11679,DUF3275
1256,PF11682,DUF3279
1257,PF11683,DUF3278
1258,PF11684,DUF2380
1259,PF11685,DUF3281
1260,PF11686,DUF3283
1261,PF11687,DUF3284
1262,PF11688,DUF3285
1263,PF11690,DUF3287
1264,PF11691,DUF3288
1265,PF11693,DUF2990
1266,PF11694,DUF3290
1267,PF11695,DUF3291
1268,PF11696,DUF3292
1269,PF11697,DUF3293
1270,PF11702,DUF3295
1271,PF11730,DUF3297
1272,PF11736,DUF3299
1273,PF11737,DUF3300
1274,PF11738,DUF3298
1275,PF11743,DUF3301
1276,PF11745,DUF3304
1277,PF11746,DUF3303
1278,PF11748,DUF3306
1279,PF11749,DUF3305
1280,PF11752,DUF3309
1281,PF11755,DUF3311
1282,PF11769,DUF3313
1283,PF11771,DUF3314
1284,PF11780,DUF3318
1285,PF11782,DUF3319
1286,PF11784,DUF3320
1287,PF11804,DUF3325
1288,PF11805,DUF3326
1289,PF11810,DUF3332
1290,PF11811,DUF3331
1291,PF11814,DUF3335
1292,PF11820,DUF3339
1293,PF11824,DUF3344
1294,PF11827,DUF3347
1295,PF11828,DUF3348
1296,PF11829,DUF3349
1297,PF11830,DUF3350
1298,PF11832,DUF3352
1299,PF11840,DUF3360
1300,PF11843,DUF3363
1301,PF11849,DUF3369
1302,PF11850,DUF3370
1303,PF11853,DUF3373
1304,PF11855,DUF3375
1305,PF11859,DUF3379
1306,PF11863,DUF3383
1307,PF11866,DUF3386
1308,PF11869,DUF3389
1309,PF11871,DUF3391
1310,PF11872,DUF3392
1311,PF11874,DUF3394
1312,PF11880,DUF3400
1313,PF11885,DUF3405
1314,PF11888,DUF3408
1315,PF11899,DUF3419
1316,PF11902,DUF3422
1317,PF11905,DUF3425
1318,PF11906,DUF3426
1319,PF11907,DUF3427
1320,PF11911,DUF3429
1321,PF11913,DUF3431
1322,PF11915,DUF3433
1323,PF11917,DUF3435
1324,PF11922,DUF3440
1325,PF11925,DUF3443
1326,PF11937,DUF3455
1327,PF11938,DUF3456
1328,PF11943,DUF3460
1329,PF11948,DUF3465
1330,PF11950,DUF3467
1331,PF11961,DUF3475
1332,PF11981,DUF3482
1333,PF11990,DUF3487
1334,PF11994,DUF3489
1335,PF11996,DUF3491
1336,PF12001,DUF3496
1337,PF12005,DUF3499
1338,PF12006,DUF3500
1339,PF12007,DUF3501
1340,PF12021,DUF3509
1341,PF12023,DUF3511
1342,PF12024,DUF3512
1343,PF12027,DUF3514
1344,PF12028,DUF3515
1345,PF12029,DUF3516
1346,PF12030,DUF3517
1347,PF12033,DUF3519
1348,PF12039,DUF3525
1349,PF12040,DUF3526
1350,PF12043,DUF3527
1351,PF12045,DUF3528
1352,PF12049,DUF3531
1353,PF12055,DUF3536
1354,PF12056,DUF3537
1355,PF12059,DUF3540
1356,PF12060,DUF3541
1357,PF12065,DUF3545
1358,PF12069,DUF3549
1359,PF12071,DUF3551
1360,PF12073,DUF3553
1361,PF12077,DUF3556
1362,PF12078,DUF3557
1363,PF12083,DUF3560
1364,PF12085,DUF3562
1365,PF12086,DUF3563
1366,PF12087,DUF3564
1367,PF12088,DUF3565
1368,PF12089,DUF3566
1369,PF12091,DUF3567
1370,PF12094,DUF3570
1371,PF12096,DUF3572
1372,PF12097,DUF3573
1373,PF12098,DUF3574
1374,PF12099,DUF3575
1375,PF12100,DUF3576
1376,PF12101,DUF3577
1377,PF12112,DUF3579
1378,PF12119,DUF3581
1379,PF12128,DUF3584
1380,PF12131,DUF3586
1381,PF12158,DUF3592
1382,PF12159,DUF3593
1383,PF12200,DUF3597
1384,PF12204,DUF3598
1385,PF12207,DUF3600
1386,PF12208,DUF3601
1387,PF12223,DUF3602
1388,PF12228,DUF3604
1389,PF12239,DUF3605
1390,PF12244,DUF3606
1391,PF12263,DUF3611
1392,PF12266,DUF3613
1393,PF12267,DUF3614
1394,PF12268,DUF3612
1395,PF12274,DUF3615
1396,PF12275,DUF3616
1397,PF12276,DUF3617
1398,PF12277,DUF3618
1399,PF12279,DUF3619
1400,PF12286,DUF3622
1401,PF12292,DUF3624
1402,PF12294,DUF3626
1403,PF12302,DUF3629
1404,PF12305,DUF3630
1405,PF12307,DUF3631
1406,PF12321,DUF3634
1407,PF12337,DUF3637
1408,PF12340,DUF3638
1409,PF12358,DUF3644
1410,PF12359,DUF3645
1411,PF12364,DUF3648
1412,PF12365,DUF3649
1413,PF12376,DUF3654
1414,PF12395,DUF3658
1415,PF12396,DUF3659
1416,PF12406,DUF3664
1417,PF12412,DUF3667
1418,PF12416,DUF3668
1419,PF12417,DUF3669
1420,PF12419,DUF3670
1421,PF12425,DUF3673
1422,PF12428,DUF3675
1423,PF12429,DUF3676
1424,PF12435,DUF3678
1425,PF12442,DUF3681
1426,PF12446,DUF3682
1427,PF12447,DUF3683
1428,PF12449,DUF3684
1429,PF12479,DUF3698
1430,PF12482,DUF3701
1431,PF12487,DUF3703
1432,PF12493,DUF3709
1433,PF12502,DUF3710
1434,PF12505,DUF3712
1435,PF12506,DUF3713
1436,PF12509,DUF3715
1437,PF12511,DUF3716
1438,PF12512,DUF3717
1439,PF12514,DUF3718
1440,PF12516,DUF3719
1441,PF12517,DUF3720
1442,PF12518,DUF3721
1443,PF12520,DUF3723
1444,PF12523,DUF3725
1445,PF12525,DUF3726
1446,PF12527,DUF3727
1447,PF12532,DUF3732
1448,PF12541,DUF3737
1449,PF12552,DUF3741
1450,PF12553,DUF3742
1451,PF12565,DUF3747
1452,PF12566,DUF3748
1453,PF12570,DUF3750
1454,PF12572,DUF3752
1455,PF12576,DUF3754
1456,PF12579,DUF3755
1457,PF12581,DUF3756
1458,PF12582,DUF3757
1459,PF12586,DUF3760
1460,PF12587,DUF3761
1461,PF12591,DUF3762
1462,PF12594,DUF3764
1463,PF12599,DUF3768
1464,PF12600,DUF3769
1465,PF12607,DUF3772
1466,PF12616,DUF3775
1467,PF12620,DUF3778
1468,PF12048,DUF3530
1469,PF12476,DUF3696
1470,PF10817,DUF2563
1471,PF10828,DUF2570
1472,PF10831,DUF2556
1473,PF12530,DUF3730
1474,PF10833,DUF2572
1475,PF11008,DUF2846
1476,PF12299,DUF3627
1477,PF10840,DUF2645
1478,PF10844,DUF2577
1479,PF11959,DUF3473
1480,PF11949,DUF3466
1481,PF11946,DUF3463
1482,PF10856,DUF2678
1483,PF11019,DUF2608
1484,PF11021,DUF2613
1485,PF11941,DUF3459
1486,PF11039,DUF2824
1487,PF11103,DUF2887
1488,PF11115,DUF2623
1489,PF11121,DUF2639
1490,PF11157,DUF2937
1491,PF10858,DUF2659
1492,PF10859,DUF2660
1493,PF11369,DUF3160
1494,PF11398,DUF2813
1495,PF11350,DUF3152
1496,PF11168,DUF2955
1497,PF11144,DUF2920
1498,PF11141,DUF2914
1499,PF10869,DUF2666
1500,PF11997,DUF3492
1501,PF10872,DUF2740
1502,PF12010,DUF3502
1503,PF07587,DUF1553
1504,PF07619,DUF1581
1505,PF12051,DUF3533
1506,PF10874,DUF2746
1507,PF10875,DUF2670
1508,PF10877,DUF2671
1509,PF10878,DUF2672
1510,PF12084,DUF3561
1511,PF01930,DUF83
1512,PF11505,DUF3216
1513,PF04010,DUF357
1514,PF07866,DUF1653
1515,PF12670,DUF3792
1516,PF12823,DUF3817
1517,PF12953,DUF3842
1518,PF12653,DUF3785
1519,PF12952,DUF3841
1520,PF12939,DUF3837
1521,PF12864,DUF3822
1522,PF12954,DUF3843
1523,PF12958,DUF3847
1524,PF12962,DUF3851
1525,PF12758,DUF3813
1526,PF12983,DUF3867
1527,PF12723,DUF3809
1528,PF12635,DUF3780
1529,PF12675,DUF3795
1530,PF12636,DUF3781
1531,PF12687,DUF3801
1532,PF10801,DUF2537
1533,PF10879,DUF2674
1534,PF10880,DUF2673
1535,PF10905,DUF2695
1536,PF10959,DUF2761
1537,PF10924,DUF2711
1538,PF10800,DUF2528
1539,PF12677,DUF3797
1540,PF12683,DUF3798
1541,PF12654,DUF3786
1542,PF12663,DUF3788
1543,PF12713,DUF3806
1544,PF12870,DUF4878
1545,PF12668,DUF3791
1546,PF12644,DUF3782
1547,PF12863,DUF3821
1548,PF12866,DUF3823
1549,PF11856,DUF3376
1550,PF12875,DUF3826
1551,PF12481,DUF3700
1552,PF12883,DUF3828
1553,PF12889,DUF3829
1554,PF12725,DUF3810
1555,PF10920,DUF2705
1556,PF10921,DUF2710
1557,PF12712,DUF3805
1558,PF10909,DUF2682
1559,PF12927,DUF3835
1560,PF12956,DUF3845
1561,PF12963,DUF3852
1562,PF12975,DUF3859
1563,PF12979,DUF3863
1564,PF12980,DUF3864
1565,PF12930,DUF3836
1566,PF10939,DUF2631
1567,PF12987,DUF3871
1568,PF12989,DUF3873
1569,PF12964,DUF3853
1570,PF12943,DUF3839
1571,PF12959,DUF3848
1572,PF10812,DUF2561
1573,PF12960,DUF3849
1574,PF10888,DUF2742
1575,PF12965,DUF3854
1576,PF10811,DUF2532
1577,PF10892,DUF2688
1578,PF10947,DUF2628
1579,PF10948,DUF2635
1580,PF10881,DUF2726
1581,PF12915,DUF3833
1582,PF10927,DUF2738
1583,PF12978,DUF3862
1584,PF11251,DUF3050
1585,PF10904,DUF2694
1586,PF12868,DUF3824
1587,PF12873,DUF3825
1588,PF11432,DUF3197
1589,PF10913,DUF2706
1590,PF12990,DUF3874
1591,PF12992,DUF3876
1592,PF09622,DUF2391
1593,PF09664,DUF2399
1594,PF10804,DUF2538
1595,PF10810,DUF2545
1596,PF10895,DUF2715
1597,PF12977,DUF3861
1598,PF12981,DUF3865
1599,PF12982,DUF3866
1600,PF12984,DUF3868
1601,PF12967,DUF3855
1602,PF10925,DUF2680
1603,PF10936,DUF2617
1604,PF10949,DUF2777
1605,PF10958,DUF2759
1606,PF10968,DUF2770
1607,PF10969,DUF2771
1608,PF10971,DUF2773
1609,PF10979,DUF2786
1610,PF11274,DUF3074
1611,PF11339,DUF3141
1612,PF11419,DUF3194
1613,PF11428,DUF3196
1614,PF11447,DUF3201
1615,PF11506,DUF3217
1616,PF11536,DUF3226
1617,PF11655,DUF2589
1618,PF11813,DUF3334
1619,PF11868,DUF3388
1620,PF11877,DUF3397
1621,PF11897,DUF3417
1622,PF12079,DUF3558
1623,PF12664,DUF3789
1624,PF12672,DUF3793
1625,PF12686,DUF3800
1626,PF12707,DUF3804
1627,PF12720,DUF3807
1628,PF12903,DUF3830
1629,PF12916,DUF3834
1630,PF11795,DUF3322
1631,PF12994,DUF3878
1632,PF12993,DUF3877
1633,PF12995,DUF3879
1634,PF12997,DUF3881
1635,PF12970,DUF3858
1636,PF12968,DUF3856
1637,PF12206,DUF3599
1638,PF12957,DUF3846
1639,PF11812,DUF3333
1640,PF11861,DUF3381
1641,PF11926,DUF3444
1642,PF12986,DUF3870
1643,PF12969,DUF3857
1644,PF12976,DUF3860
1645,PF12985,DUF3869
1646,PF13021,DUF3885
1647,PF13024,DUF3884
1648,PF13025,DUF3886
1649,PF13026,DUF3887
1650,PF13027,DUF3888
1651,PF13028,DUF3889
1652,PF13029,DUF3890
1653,PF13030,DUF3891
1654,PF13033,DUF3894
1655,PF13035,DUF3896
1656,PF13034,DUF3895
1657,PF13031,DUF3892
1658,PF13046,DUF3906
1659,PF13045,DUF3905
1660,PF13043,DUF3903
1661,PF13042,DUF3902
1662,PF13118,DUF3972
1663,PF13119,DUF3973
1664,PF13120,DUF3974
1665,PF13039,DUF3900
1666,PF13038,DUF3899
1667,PF13121,DUF3976
1668,PF13122,DUF3977
1669,PF13123,DUF3978
1670,PF13124,DUF3963
1671,PF13037,DUF3898
1672,PF13047,DUF3907
1673,PF13125,DUF3958
1674,PF13126,DUF3975
1675,PF13127,DUF3955
1676,PF13128,DUF3954
1677,PF13129,DUF3953
1678,PF13130,DUF3952
1679,PF13048,DUF3908
1680,PF13049,DUF3910
1681,PF13050,DUF3911
1682,PF13051,DUF3912
1683,PF13052,DUF3913
1684,PF13053,DUF3914
1685,PF13054,DUF3915
1686,PF13055,DUF3917
1687,PF13131,DUF3951
1688,PF13056,DUF3918
1689,PF13132,DUF3950
1690,PF13057,DUF3919
1691,PF13133,DUF3949
1692,PF13058,DUF3920
1693,PF13134,DUF3948
1694,PF13059,DUF3922
1695,PF13060,DUF3921
1696,PF13061,DUF3923
1697,PF13062,DUF3924
1698,PF13135,DUF3947
1699,PF13136,DUF3984
1700,PF13137,DUF3983
1701,PF13139,DUF3981
1702,PF13140,DUF3980
1703,PF13141,DUF3979
1704,PF13142,DUF3960
1705,PF13143,DUF3986
1706,PF13148,DUF3987
1707,PF13151,DUF3990
1708,PF13152,DUF3967
1709,PF13153,DUF3985
1710,PF13154,DUF3991
1711,PF13158,DUF3993
1712,PF13159,DUF3994
1713,PF13160,DUF3995
1714,PF13162,DUF3997
1715,PF13163,DUF3999
1716,PF13170,DUF4003
1717,PF13171,DUF4004
1718,PF13178,DUF4005
1719,PF13179,DUF4006
1720,PF13301,DUF4079
1721,PF13073,DUF3937
1722,PF13074,DUF3938
1723,PF13075,DUF3939
1724,PF13077,DUF3909
1725,PF13078,DUF3942
1726,PF13079,DUF3916
1727,PF13080,DUF3926
1728,PF13081,DUF3941
1729,PF13082,DUF3931
1730,PF13084,DUF3943
1731,PF13105,DUF3959
1732,PF13106,DUF3961
1733,PF13107,DUF3964
1734,PF13108,DUF3969
1735,PF13110,DUF3966
1736,PF13112,DUF3965
1737,PF13113,DUF3970
1738,PF13210,DUF4018
1739,PF13209,DUF4017
1740,PF13211,DUF4019
1741,PF13212,DUF4020
1742,PF13213,DUF4021
1743,PF13214,DUF4022
1744,PF13198,DUF4014
1745,PF13215,DUF4023
1746,PF13197,DUF4013
1747,PF13216,DUF4024
1748,PF13217,DUF4025
1749,PF13196,DUF4012
1750,PF13218,DUF4026
1751,PF13219,DUF4027
1752,PF13194,DUF4010
1753,PF13220,DUF4028
1754,PF13221,DUF4029
1755,PF13222,DUF4030
1756,PF13223,DUF4031
1757,PF13224,DUF4032
1758,PF13226,DUF4034
1759,PF13228,DUF4037
1760,PF13254,DUF4045
1761,PF13255,DUF4046
1762,PF13256,DUF4047
1763,PF13257,DUF4048
1764,PF13258,DUF4049
1765,PF13261,DUF4052
1766,PF13262,DUF4054
1767,PF13264,DUF4055
1768,PF13265,DUF4056
1769,PF13266,DUF4057
1770,PF13267,DUF4058
1771,PF13268,DUF4059
1772,PF13269,DUF4060
1773,PF13284,DUF4072
1774,PF13271,DUF4062
1775,PF13313,DUF4082
1776,PF13285,DUF4073
1777,PF13314,DUF4083
1778,PF13315,DUF4085
1779,PF13316,DUF4087
1780,PF13317,DUF4088
1781,PF13319,DUF4090
1782,PF13321,DUF4084
1783,PF13349,DUF4097
1784,PF13352,DUF4100
1785,PF13063,DUF3925
1786,PF13064,DUF3927
1787,PF13065,DUF3928
1788,PF13066,DUF3929
1789,PF13067,DUF3930
1790,PF13068,DUF3932
1791,PF13069,DUF3933
1792,PF13070,DUF3934
1793,PF13071,DUF3935
1794,PF13388,DUF4106
1795,PF13389,DUF4107
1796,PF13390,DUF4108
1797,PF13422,DUF4110
1798,PF13496,DUF4120
1799,PF13494,DUF4119
1800,PF13430,DUF4112
1801,PF13438,DUF4113
1802,PF13497,DUF4121
1803,PF13498,DUF4122
1804,PF13526,DUF4125
1805,PF13448,DUF4114
1806,PF13548,DUF4126
1807,PF13475,DUF4116
1808,PF13680,DUF4152
1809,PF14468,DUF4427
1810,PF13099,DUF3944
1811,PF14467,DUF4426
1812,PF13101,DUF3945
1813,PF13104,DUF3956
1814,PF13773,DUF4170
1815,PF13770,DUF4169
1816,PF13775,DUF4171
1817,PF13776,DUF4172
1818,PF13778,DUF4174
1819,PF13780,DUF4176
1820,PF13785,DUF4178
1821,PF13799,DUF4183
1822,PF13803,DUF4184
1823,PF13821,DUF4187
1824,PF13827,DUF4189
1825,PF13828,DUF4190
1826,PF13834,DUF4193
1827,PF13836,DUF4195
1828,PF13852,DUF4197
1829,PF13182,DUF4007
1830,PF13858,DUF4199
1831,PF13938,DUF4213
1832,PF13863,DUF4200
1833,PF13875,DUF4202
1834,PF13253,DUF4044
1835,PF13273,DUF4064
1836,PF13282,DUF4070
1837,PF13200,DUF4015
1838,PF13294,DUF4075
1839,PF13295,DUF4077
1840,PF13293,DUF4074
1841,PF13946,DUF4214
1842,PF13251,DUF4042
1843,PF13642,DUF4144
1844,PF13643,DUF4145
1845,PF13311,DUF4080
1846,PF13312,DUF4081
1847,PF13687,DUF4153
1848,PF13698,DUF4156
1849,PF13700,DUF4158
1850,PF13709,DUF4159
1851,PF13334,DUF4094
1852,PF13747,DUF4164
1853,PF13761,DUF4166
1854,PF13952,DUF4216
1855,PF13961,DUF4219
1856,PF13968,DUF4220
1857,PF13970,DUF4221
1858,PF13973,DUF4222
1859,PF13978,DUF4223
1860,PF13986,DUF4224
1861,PF13988,DUF4225
1862,PF14004,DUF4227
1863,PF14012,DUF4229
1864,PF14014,DUF4230
1865,PF14015,DUF4231
1866,PF14016,DUF4232
1867,PF14017,DUF4233
1868,PF14018,DUF4234
1869,PF14019,DUF4235
1870,PF14020,DUF4236
1871,PF14022,DUF4238
1872,PF14023,DUF4239
1873,PF14024,DUF4240
1874,PF14025,DUF4241
1875,PF14029,DUF4244
1876,PF14030,DUF4245
1877,PF14042,DUF4247
1878,PF14053,DUF4248
1879,PF13351,DUF4099
1880,PF14054,DUF4249
1881,PF14056,DUF4250
1882,PF14059,DUF4251
1883,PF14060,DUF4252
1884,PF14062,DUF4253
1885,PF14063,DUF4254
1886,PF14066,DUF4256
1887,PF14074,DUF4257
1888,PF14076,DUF4258
1889,PF14078,DUF4259
1890,PF14079,DUF4260
1891,PF14080,DUF4261
1892,PF14081,DUF4262
1893,PF14085,DUF4265
1894,PF14086,DUF4266
1895,PF14087,DUF4267
1896,PF14088,DUF4268
1897,PF14091,DUF4269
1898,PF14092,DUF4270
1899,PF14093,DUF4271
1900,PF14094,DUF4272
1901,PF14096,DUF4274
1902,PF14275,DUF4362
1903,PF14276,DUF4363
1904,PF14277,DUF4364
1905,PF14280,DUF4365
1906,PF14285,DUF4367
1907,PF14287,DUF4368
1908,PF14128,DUF4295
1909,PF14289,DUF4369
1910,PF14129,DUF4296
1911,PF14131,DUF4298
1912,PF13322,DUF4092
1913,PF14132,DUF4299
1914,PF14133,DUF4300
1915,PF13503,DUF4123
1916,PF13511,DUF4124
1917,PF14134,DUF4301
1918,PF13552,DUF4127
1919,PF14135,DUF4302
1920,PF14294,DUF4372
1921,PF13566,DUF4130
1922,PF13567,DUF4131
1923,PF13569,DUF4132
1924,PF13571,DUF4133
1925,PF13572,DUF4134
1926,PF14136,DUF4303
1927,PF13590,DUF4136
1928,PF14137,DUF4304
1929,PF13605,DUF4141
1930,PF13628,DUF4142
1931,PF13635,DUF4143
1932,PF13663,DUF4148
1933,PF14146,DUF4305
1934,PF13711,DUF4160
1935,PF13752,DUF4165
1936,PF13763,DUF4167
1937,PF13767,DUF4168
1938,PF13786,DUF4179
1939,PF13788,DUF4180
1940,PF14154,DUF4306
1941,PF13789,DUF4181
1942,PF13810,DUF4185
1943,PF14155,DUF4307
1944,PF13829,DUF4191
1945,PF13830,DUF4192
1946,PF13926,DUF4211
1947,PF13960,DUF4218
1948,PF14172,DUF4309
1949,PF14101,DUF4275
1950,PF14103,DUF4276
1951,PF14187,DUF4310
1952,PF14104,DUF4277
1953,PF14105,DUF4278
1954,PF14106,DUF4279
1955,PF14107,DUF4280
1956,PF14190,DUF4313
1957,PF14192,DUF4314
1958,PF14193,DUF4315
1959,PF14195,DUF4316
1960,PF14199,DUF4317
1961,PF14201,DUF4318
1962,PF14208,DUF4320
1963,PF14209,DUF4321
1964,PF14210,DUF4322
1965,PF14213,DUF4325
1966,PF14216,DUF4326
1967,PF14217,DUF4327
1968,PF14220,DUF4329
1969,PF14221,DUF4330
1970,PF14301,DUF4376
1971,PF14302,DUF4377
1972,PF14315,DUF4380
1973,PF14316,DUF4381
1974,PF14321,DUF4382
1975,PF14326,DUF4384
1976,PF14328,DUF4385
1977,PF14329,DUF4386
1978,PF14330,DUF4387
1979,PF14333,DUF4389
1980,PF14334,DUF4390
1981,PF14335,DUF4391
1982,PF14339,DUF4394
1983,PF14340,DUF4395
1984,PF14342,DUF4396
1985,PF14344,DUF4397
1986,PF14346,DUF4398
1987,PF14347,DUF4399
1988,PF14351,DUF4401
1989,PF14352,DUF4402
1990,PF14356,DUF4403
1991,PF14357,DUF4404
1992,PF14359,DUF4406
1993,PF14362,DUF4407
1994,PF14364,DUF4408
1995,PF14366,DUF4410
1996,PF14371,DUF4412
1997,PF14385,DUF4416
1998,PF14386,DUF4417
1999,PF14387,DUF4418
2000,PF14388,DUF4419
2001,PF14390,DUF4420
2002,PF14391,DUF4421
2003,PF14393,DUF4422
2004,PF14394,DUF4423
2005,PF14415,DUF4424
2006,PF13600,DUF4140
2007,PF14110,DUF4282
2008,PF14111,DUF4283
2009,PF14114,DUF4286
2010,PF14219,DUF4328
2011,PF14224,DUF4331
2012,PF14229,DUF4332
2013,PF14232,DUF4334
2014,PF14233,DUF4335
2015,PF14235,DUF4337
2016,PF14271,DUF4359
2017,PF14267,DUF4357
2018,PF14263,DUF4354
2019,PF14261,DUF4351
2020,PF14254,DUF4348
2021,PF14252,DUF4347
2022,PF14248,DUF4345
2023,PF14117,DUF4287
2024,PF14119,DUF4288
2025,PF14123,DUF4290
2026,PF14124,DUF4291
2027,PF14125,DUF4292
2028,PF14126,DUF4293
2029,PF14127,DUF4294
2030,PF14230,DUF4333
2031,PF14234,DUF4336
2032,PF14238,DUF4340
2033,PF14242,DUF4342
2034,PF14257,DUF4349
2035,PF14258,DUF4350
2036,PF14270,DUF4358
2037,PF14273,DUF4360
2038,PF06067,DUF932
2039,PF15008,DUF4518
2040,PF15546,DUF4653
2041,PF15484,DUF4642
2042,PF15123,DUF4562
2043,PF14730,DUF4468
2044,PF14734,DUF4469
2045,PF15022,DUF4522
2046,PF14485,DUF4431
2047,PF14717,DUF4465
2048,PF15418,DUF4625
2049,PF14846,DUF4485
2050,PF15032,DUF4529
2051,PF15232,DUF4585
2052,PF14486,DUF4432
2053,PF14900,DUF4493
2054,PF14534,DUF4440
2055,PF15081,DUF4548
2056,PF15078,DUF4545
2057,PF14902,DUF4494
2058,PF14488,DUF4434
2059,PF14953,DUF4504
2060,PF15429,DUF4628
2061,PF14899,DUF4492
2062,PF14794,DUF4479
2063,PF14472,DUF4429
2064,PF15049,DUF4534
2065,PF15416,DUF4623
2066,PF15366,DUF4597
2067,PF15076,DUF4543
2068,PF15376,DUF4603
2069,PF14471,DUF4428
2070,PF15080,DUF4547
2071,PF15084,DUF4550
2072,PF15087,DUF4551
2073,PF15507,DUF4649
2074,PF15466,DUF4635
2075,PF15391,DUF4614
2076,PF14713,DUF4464
2077,PF14946,DUF4501
2078,PF14898,DUF4491
2079,PF15488,DUF4645
2080,PF15399,DUF4620
2081,PF15047,DUF4533
2082,PF15112,DUF4559
2083,PF15442,DUF4629
2084,PF14660,DUF4458
2085,PF14868,DUF4487
