,accession,duf_number
264,PF06282,DUF1036
265,PF06288,DUF1040
266,PF06299,DUF1045
267,PF06341,DUF1056
268,PF06348,DUF1059
269,PF06353,DUF1062
270,PF06356,DUF1064
271,PF06388,DUF1075
272,PF06465,DUF1087
273,PF06476,DUF1090
274,PF06493,DUF1096
275,PF06496,DUF1097
276,PF06510,DUF1102
277,PF06513,DUF1103
278,PF06518,DUF1104
279,PF06523,DUF1106
280,PF06526,DUF1107
281,PF06531,DUF1108
282,PF06549,DUF1118
283,PF06563,DUF1125
284,PF06575,DUF1132
285,PF06592,DUF1138
286,PF06600,DUF1140
287,PF06611,DUF1145
288,PF06612,DUF1146
289,PF06619,DUF1149
290,PF06620,DUF1150
291,PF06627,DUF1153
292,PF06634,DUF1156
293,PF06651,DUF1163
294,PF06666,DUF1173
295,PF06671,DUF1174
296,PF06672,DUF1175
297,PF06674,DUF1176
298,PF06675,DUF1177
299,PF06676,DUF1178
300,PF06678,DUF1179
301,PF06680,DUF1181
302,PF06683,DUF1184
303,PF06688,DUF1187
304,PF06691,DUF1189
305,PF06698,DUF1192
306,PF06711,DUF1198
307,PF06717,DUF1202
308,PF06718,DUF1203
309,PF06721,DUF1204
310,PF06724,DUF1206
311,PF06727,DUF1207
312,PF06746,DUF1216
313,PF06797,DUF1229
314,PF06823,DUF1236
315,PF06852,DUF1248
316,PF06853,DUF1249
317,PF06869,DUF1258
318,PF06887,DUF1265
319,PF06889,DUF1266
320,PF06900,DUF1270
321,PF06918,DUF1280
322,PF06924,DUF1281
323,PF06932,DUF1283
324,PF06935,DUF1284
325,PF06939,DUF1286
326,PF06940,DUF1287
327,PF06947,DUF1290
328,PF06993,DUF1304
329,PF06998,DUF1307
330,PF07023,DUF1315
331,PF07026,DUF1317
332,PF07032,DUF1322
333,PF07040,DUF1326
334,PF07043,DUF1328
335,PF07076,DUF1344
336,PF07080,DUF1348
337,PF07081,DUF1349
338,PF07094,DUF1357
339,PF07099,DUF1361
340,PF07101,DUF1363
341,PF07104,DUF1366
342,PF07105,DUF1367
343,PF07117,DUF1373
344,PF07125,DUF1378
345,PF07128,DUF1380
346,PF07129,DUF1381
347,PF07150,DUF1390
348,PF07151,DUF1391
349,PF07154,DUF1392
350,PF07165,DUF1397
